,Restaurants,lat-long
346,yangkiez sector 50 gurgaon,"28.4254741999,77.0578332245"
347,anupam restaurant cafe sector 28 faridabad,"28.4301165781,77.3159660026"
348,om sai ram andhra mess sector 45 gurgaon,"28.4486418993,77.0717092976"
349,eggspectation jaypee siddharth rajendra place new delhi,"28.6427401951,77.1753746644"
350,awesum dimsum sector 50 gurgaon,"28.4249313719,77.0680849627"
351,punjab junction 1 old railway road gurgaon,"28.4677920608,77.0170951635"
352,nagpal di hatti geeta colony new delhi,"28.6591670088,77.2692744434"
353,sugarama patisserie shahpur jat new delhi,"28.5493191058,77.2148762271"
354,la vie en rose fashart studio cafe saket new delhi,"28.5161746093,77.1973825246"
355,sanjay chur chur naan lajpat nagar 4 new delhi,"28.5642955690,77.2343916446"
356,chaiyum sector 10 dwarka new delhi,"28.5797648282,77.0562446862"
357,moms pizza sector 71 noida,"28.5976777882,77.3859371245"
358,potli dlf phase 2 gurgaon,"28.4811769558,77.0858274400"
359,zauk knowledge park,"28.4640346959,77.5075441226"
360,chaskaa anand vihar new delhi,"28.6597201049,77.3064870760"
361,champaran meat house laxmi nagar new delhi,"28.6304790919,77.2760426626"
362,champaran handi meat sector 14 gurgaon,"28.4760705839,77.0362028852"
363,hamoni cafe by the greens sector 23 gurgaon,"28.5008570000,77.0537140000"
364,peoples cafe dlf phase 4 gurgaon,"28.4621872070,77.0873938501"
365,rustoms ito new delhi,"28.6381670000,77.2404720000"
366,big wong sector 16 faridabad,"28.4145531202,77.3197878152"
367,chai point 3 udyog vihar gurgaon,"28.4994956208,77.0785167441"
368,thapa chinese fast food 3 indirapuram ghaziabad,"28.6506236567,77.3660572618"
369,billus hut netaji subhash place new delhi,"28.6929917032,77.1494487673"
370,radha krishna chole bhature karkardooma new delhi,"28.6530915854,77.2981856391"
371,punjabi kitchen dlf phase 3 gurgaon,"28.4934124415,77.0939203352"
372,bakebook anand vihar new delhi,"28.6559475196,77.3022773489"
373,meatatarian sector 49 gurgaon,"28.4195801945,77.0517804846"
374,the all american diner lodhi road new delhi,"28.5893678920,77.2260224819"
375,sum yum asia dlf phase 4 gurgaon,"28.4623286878,77.0871755853"
376,burma burma saket new delhi,"28.5284455092,77.2186621651"
377,chalte firte momos 1 rohini new delhi,"28.7035600000,77.1200000000"
378,fkc chicken hub 1 malviya nagar new delhi,"28.5316950000,77.2076180000"
